"analytical_context_id","preferred_label_en","preferred_label_jp","context_type","scope_note","use_when","do_not_use_when","related_keyword_ids","related_region_ids","related_entity_ids","notes"
"COLD_WAR_IN_SOUTHEAST_ASIA","Cold War in Southeast Asia","東南アジアにおける冷戦","regional analytical frame","Cold War rivalry, alignments, conflicts, and diplomacy in Southeast Asia.","Use when a record is best interpreted through Cold War dynamics in Southeast Asia, including Cambodia, Vietnam, Laos, ASEAN diplomacy, or regional crisis diplomacy.","Do not use merely because a Southeast Asian country appears without Cold War/regional conflict relevance.","CW;CAMBODIA_Q;INDOCHINA_CONFLICT;ASEAN_DIPLOMACY","SOUTHEAST_ASIA;ASIA","KHM;VNM;LAO;THA;PRC;USSR","Analytical context, not necessarily an original source term."
"SOUTHEAST_ASIAN_COMMUNIST_POLITICS","Southeast Asian Communist Politics","東南アジア共産主義政治","ideological/regional analytical frame","Communist parties, regimes, armed movements, and ideological politics in Southeast Asia.","Use for records concerning communist politics in Cambodia, Vietnam, Laos, or wider Southeast Asia, including party-state conflict and regional revolutionary politics.","Do not use merely for any socialist/communist country outside Southeast Asian political context.","SOUTHEAST_ASIA_COMMUNISM;INDOCHINA_CONFLICT;CAMBODIA_Q;CW","SOUTHEAST_ASIA","KHM;VNM;LAO;PRC;USSR","Analytical context; keep separate from organization_type political_party unless a named party is tagged."
"SINO_SOVIET_RIVALRY_IN_SOUTHEAST_ASIA","Sino-Soviet Rivalry in Southeast Asia","東南アジアにおける中ソ対立","geopolitical analytical frame","Competition between the PRC and Soviet Union as it shaped Southeast Asian conflicts and diplomacy.","Use when PRC/Soviet rivalry is relevant to Cambodia, Vietnam, Laos, ASEAN, or Indochina diplomacy.","Do not use for all Sino-Soviet records unless Southeast Asia is central.","SINO_SOVIET;CW;INDOCHINA_CONFLICT;CAMBODIA_Q","SOUTHEAST_ASIA;EAST_ASIA","PRC;USSR;VNM;KHM","Useful for Cambodia/Kampuchea files where Vietnam-Soviet and PRC positions frame the conflict."
"PRC_VIETNAM_RIVALRY","PRC-Vietnam Rivalry","中越対立／中国・ベトナム対立","bilateral/regional analytical frame","Rivalry or confrontation between the PRC and Vietnam, especially as it affected Cambodia/Kampuchea and Southeast Asian diplomacy.","Use when Chinese and Vietnamese positions, rivalry, or conflict are central to the record.","Do not use merely because both PRC and Vietnam are mentioned separately without rivalry/contextual linkage.","VIETNAM_CAMBODIA_CONFLICT;INDOCHINA_CONFLICT;CW","SOUTHEAST_ASIA;EAST_ASIA","PRC;VNM;KHM","Analytical context; not a substitute for entity_ids PRC and VNM."
"REGIONAL_IDEOLOGICAL_CONFLICT","Regional Ideological Conflict","地域的イデオロギー対立","broad analytical frame","Regional conflict structured by ideological divisions, revolutionary movements, communist politics, or anti-communist diplomacy.","Use when a record is best interpreted as part of regional ideological conflict rather than ordinary bilateral diplomacy.","Do not use when ideology is incidental or not visible from the record context.","CW;SOUTHEAST_ASIA_COMMUNISM;LIBERATION;DIP","SOUTHEAST_ASIA;ASIA;GLOBAL","","Broad analytical context; apply sparingly."
"COMMUNIST_PARTY_POLITICS","Communist Party Politics","共産党政治","party/ideological analytical frame","Analytical frame for communist party politics, party-state relations, intra-communist conflict, and communist movement dynamics.","Use when communist party politics, party-state rivalry, or communist movement dynamics are central to interpreting the record.","Do not use merely because a communist state is mentioned without party-political relevance.","SOUTHEAST_ASIA_COMMUNISM;CW;DIP","GLOBAL;SOUTHEAST_ASIA;EAST_ASIA","PRC;VNM;KHM;USSR","Analytical context, not an organization tag. Use political_party organization_type only when tagging a named party as an organization."
"DECOLONIZATION_AND_UN_DIPLOMACY","Decolonization and UN Diplomacy","脱植民地化と国連外交","historical/diplomatic analytical frame","UN diplomacy shaped by decolonization, newly independent states, and postcolonial voting politics.","Use when UN diplomacy is connected to decolonization, postcolonial state participation, or newly independent states.","Do not use for all UN records unless decolonization or postcolonial dynamics are analytically relevant.","DECOL;UN;UNGA;VOTE;REP_CHINA","GLOBAL;AFRICA;ASIA;MIDEAST","PRC;ROC","Analytical context, not a bloc assignment."
"POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION","Postcolonial States and China Representation","ポストコロニアル諸国と中国代表権問題","historical/diplomatic analytical frame","Role of postcolonial or newly independent states in the China representation question.","Use for China representation records where Asian, African, Middle Eastern, or newly independent state attitudes are central.","Do not infer specific colonial legacy tags if individual countries are not identified.","UN_CHINA_REPRESENTATION_ISSUE;REP_CHINA;DECOL;THIRD_WORLD;VOTE","ASIA;AFRICA;MIDEAST;GLOBAL","PRC;ROC","Use as analytical context even when individual-country colonial heritage cannot be tagged."
"THIRD_WORLD_RESPONSES_TO_CHINA_REPRESENTATION","Third World Responses to China Representation","第三世界の中国代表権問題への反応","Third World / diplomatic reaction analytical frame","Responses of Asian, African, Middle Eastern, Latin American, or postcolonial states to the UN China representation issue.","Use when reactions or attitudes of Third World or postcolonial states toward the China representation issue are relevant.","Do not treat this as proof of AFRO_ASIAN_BLOC or other bloc action unless collective coordination is explicit.","THIRD_WORLD;UN_CHINA_REPRESENTATION_ISSUE;INTERNATIONAL_REACTION;FOREIGN_GOVERNMENT_ATTITUDES","ASIA;AFRICA;MIDEAST;LATIN_AMERICA;GLOBAL","PRC;ROC","Analytical context only; bloc_ids remain source-explicit."
"FRENCH_COLONIAL_LEGACY_IN_AFRICA","French Colonial Legacy in Africa","アフリカにおけるフランス植民地遺産","colonial legacy / postcolonial analytical frame","French colonial rule and its postcolonial diplomatic legacy in Africa, including Francophone African states, decolonization, recognition diplomacy, and PRC/ROC/France competition or influence in former French colonial spaces.","Use when a record explicitly concerns France in Africa, former French colonies, Francophone Africa, or African diplomatic alignments where the French colonial/postcolonial connection is historically central.","Do not use merely because Africa, France, or French language appears. Do not use for Belgian, British, Portuguese, or Spanish colonial legacies unless the French colonial/postcolonial connection is also explicit.","DECOL;RECOG;DIP;PRC_AFRICA;PRC_ROC_COMPETITION;SINO_FRENCH","AFRICA;NORTH_AFRICA;SUBSAHARAN_AFRICA","FRA;PRC;ROC","Analytical context. Apply after checking original table of contents or document content; do not infer from broad Africa regional labels alone."
"COLD_WAR_SECURITY_ARCHITECTURE_IN_ASIA","Cold War Security Architecture in Asia","アジアにおける冷戦期安全保障構造","security / geopolitical analytical frame","Cold War alliance systems, regional security arrangements, military alignments, and strategic architecture in Asia.","Use when a record links Asian diplomacy to Cold War security structures, alliance systems, military questions, or regional security architecture.","Do not use for all Asia records or all Cold War records without a visible security architecture dimension.","SECURITY;MILITARY;NUCLEAR_ISSUES;US_PRC_RAPPROCHEMENT","ASIA;EAST_ASIA;SOUTHEAST_ASIA","JPN;PRC;USA","Analytical context; useful for Bandung reference materials that include security and nuclear issues."
"REGIONAL_SECURITY_IN_SOUTHEAST_ASIA","Regional Security in Southeast Asia","東南アジアの地域安全保障","regional security analytical frame","Regional security issues in Southeast Asia, including alliance, neutralism, SEATO context, military/security concerns, and Cold War regional order.","Use when Southeast Asian regional security, SEATO context, or security arrangements around Southeast Asia are relevant to the record.","Do not use merely because Southeast Asian countries appear without security relevance.","SECURITY;MILITARY;SEATO;CONFERENCE_DIPLOMACY","SOUTHEAST_ASIA;ASIA","JPN;PRC;USA;IDN;THA;PHL","Analytical context; not an organization tag."
"US_ALLIANCE_SYSTEM_IN_ASIA","US Alliance System in Asia","アジアにおける米国同盟体制","alliance/security analytical frame","The US-centered alliance and security network in Asia, including bilateral alliances and regional security arrangements such as SEATO when relevant.","Use when a record is best interpreted through US alliance structures or US-led security arrangements in Asia.","Do not use merely because the United States appears.","SECURITY;MILITARY;SEATO","ASIA;EAST_ASIA;SOUTHEAST_ASIA","USA;JPN","Analytical context; keep separate from organization_ids unless a specific organization is a direct subject."
